age	weight	height	attr	sex	horm	mearche	hetero	steady	looking	number_sex1	number_sex2	number_sex3	SOI1	SOI2	SOI3	SOI4	SOI5	SOI6	scan1	scan2	scan3	scan4	scan5	scan6	scan7	scan8	scan9	scan10
19	72	178	7	1	NA	NA	1	1	NA	3	5	4	5	4	2	4	3	1	2	2	2	2	7	4	2	2	3	4
24	59	162	7	2	1	14	1	1	NA	2	3	2	2	2	4	1	1	1	8	4	4	3	5	4	4	5	4	5
20	53	174	7	2	2	14	1	2	1	1	1	1	4	1	5	3	3	1	4	2	1	2	3	2	5	6	1	7
22	87	168	5	2	1	11	1	1	NA	2	1	1	3	2	3	2	2	2	5	3	2	1	2	8	8	5	1	1
25	80	173	8	1	NA	NA	1	2	1	1	1	1	1	2	5	5	2	4	1	3	3	8	8	1	1	5	2	8
72	74	167	7	2	2	14	1	1	NA	2	2	1	1	1	5	1	1	1	4	7	3	7	3	3	6	7	3	7
20	60	168	7	2	1	12	1	1	NA	2	5	5	5	5	1	3	2	3	6	4	5	6	4	4	6	4	4	5
22	68	162	7	2	2	14	4	2	1	1	1	1	3	2	3	3	2	2	2	1	2	2	7	7	2	7	4	6
21	83	186	8	1	NA	NA	1	2	1	1	1	1	5	2	4	3	2	1	3	3	3	4	5	4	3	5	4	5
28	67	179	7	2	1	13	1	2	2	1	3	3	4	2	2	4	4	4	7	2	2	1	6	3	7	6	3	2
24	67	180	8	2	1	12	1	2	3	1	1	1	5	3	2	2	1	3	8	1	4	4	1	1	1	4	5	8
22	63	167	5	2	1	13	1	2	3	1	1	1	5	3	3	3	2	3	4	4	5	3	3	2	6	6	4	6
23	60	168	6	2	1	12	1	1	NA	2	3	1	2	1	2	3	2	2	6	4	4	4	4	5	5	5	4	5
20	60	180	7	1	NA	NA	1	2	2	3	3	3	5	3	4	4	3	4	3	3	6	3	5	5	5	5	6	4
26	80	186	8	1	NA	NA	1	2	2	4	5	5	5	5	1	5	5	4	4	4	3	4	5	5	3	3	3	5
20	68	185	9	1	NA	NA	1	1	NA	3	3	3	5	2	1	3	1	3	3	4	4	5	5	5	5	5	6	6
24	73	183	7	1	NA	NA	1	1	NA	3	4	4	5	4	1	4	4	3	4	4	2	3	6	2	1	8	3	7
21	72	176	6	1	NA	NA	1	1	NA	2	3	4	5	3	2	5	5	4	3	3	3	6	3	6	6	3	1	3
19	69	190	7	1	NA	NA	1	1	NA	2	3	4	4	4	2	4	3	4	3	6	3	5	2	6	1	6	6	7
19	62	167	7	2	1	11	1	1	NA	2	1	3	5	3	3	3	2	1	1	5	3	3	3	5	5	6	4	6
20	58.6	173	7	2	1	15	2	2	2	4	3	5	5	5	1	4	4	4	3	3	6	3	2	5	3	4	3	7
29	100	176	6	1	NA	NA	1	1	NA	2	1	1	4	4	2	3	3	3	1	5	4	5	5	4	1	4	4	5
50	81	185	7	1	NA	NA	1	1	NA	2	1	2	5	5	1	4	3	3	4	5	4	5	3	5	3	5	5	5
21	72	177	7	1	NA	NA	1	2	3	1	1	1	4	2	2	2	2	2	5	3	3	3	5	6	4	4	6	4
22	66	187	8	1	NA	NA	3	1	NA	4	5	5	5	4	1	2	2	2	4	2	2	2	3	2	3	1	4	3
20	63	178	9	1	NA	NA	1	2	1	2	2	1	4	4	2	4	4	3	1	1	1	8	5	5	5	5	6	6
21	62	175	6	2	1	15	1	1	NA	2	1	2	4	4	4	2	3	2	7	5	3	4	5	6	5	5	4	3
18	56	160	3	2	1	12	1	2	2	2	1	1	4	4	2	3	3	3	6	6	4	4	4	5	4	5	4	5
27	75	159	7	2	1	11	1	2	1	1	2	2	2	1	2	3	3	2	6	3	3	2	4	5	4	5	2	6
23	57	174	7	2	1	13	1	2	1	1	1	1	3	1	4	3	2	2	8	6	3	1	6	4	7	7	3	8
20	65	183	5	1	NA	NA	2	2	3	2	2	2	2	3	3	3	4	1	4	4	4	4	6	5	5	5	5	5
19	75	175	6	2	1	12	1	2	3	2	2	2	4	2	2	3	2	1	3	1	5	3	4	7	4	6	4	6
22	76	182	8	1	NA	NA	4	1	NA	2	1	1	3	4	1	2	1	2	5	4	4	4	5	5	4	4	4	7
42	79	180	7	1	NA	NA	2	2	2	4	5	5	5	3	1	5	3	3	4	4	5	4	4	4	5	5	5	4
25	55	183	6	1	NA	NA	1	2	1	1	1	1	4	2	3	5	4	4	3	6	4	3	3	3	2	2	2	6
20	66	165	7	2	1	12	1	1	NA	2	2	1	5	2	2	2	2	2	3	4	4	3	3	7	6	6	4	3
25	55	168	8	2	1	11	1	2	1	3	2	2	5	2	4	2	2	1	4	4	5	5	3	2	4	4	5	5
21	71	179	6	1	NA	NA	1	2	1	1	1	1	4	3	4	4	3	2	2	6	6	6	6	2	2	5	3	5
21	58	168	7	2	1	12	1	1	NA	2	3	3	4	3	3	1	2	1	4	5	5	5	4	5	4	4	4	5
18	87	185	7	1	NA	NA	1	2	1	2	1	1	4	4	2	4	3	2	1	3	4	6	8	3	1	2	1	8
59	67	163	5	1	NA	NA	1	1	NA	2	5	3	5	4	1	2	2	2	2	7	3	5	4	5	5	5	5	4
20	68	173	6	1	NA	NA	1	2	3	1	1	1	3	3	3	4	2	5	4	5	5	5	5	3	4	4	2	5
21	55	161	7	2	1	12	1	1	NA	2	1	1	4	1	4	2	2	2	6	5	7	6	4	3	4	3	4	5
21	55	165	6	2	2	14	1	2	1	2	1	1	4	3	2	4	2	1	5	3	3	2	3	2	5	6	4	6
18	65	160	3	2	1	12	1	2	1	1	1	1	1	1	4	3	3	1	6	3	2	2	3	3	2	4	5	6
21	40	155	6	2	1	13	1	1	NA	2	1	1	2	1	4	1	1	1	5	4	4	5	5	6	4	5	4	5
35	59	163	7	2	1	12	1	1	NA	3	4	4	5	5	1	3	3	3	5	4	5	3	3	5	6	5	3	5
25	60	167	7	2	1	13	1	1	NA	3	1	1	4	2	2	2	2	1	7	7	4	5	5	7	3	3	4	7
20	58	163	7	2	2	13	2	2	3	1	1	1	4	1	4	1	1	1	6	2	2	2	6	5	6	8	3	3
18	55	157	5	2	1	12	1	2	1	1	1	1	3	2	4	1	1	1	3	2	3	3	6	5	3	5	3	5
20	59	185	6	2	1	13	2	1	NA	2	4	5	5	4	1	3	3	2	5	5	6	3	3	5	2	2	4	5
22	68	165	6	2	1	12	1	2	1	2	1	2	3	1	4	2	2	2	5	3	2	3	3	3	7	5	2	7
21	58	161	6	2	1	11	1	1	NA	2	2	1	5	3	3	2	1	1	3	6	3	7	3	2	2	7	2	7
18	52	165	7	2	1	14	1	2	3	1	1	1	3	4	2	2	2	2	4	3	2	6	7	8	6	5	3	7
23	78	187	8	1	NA	NA	1	1	NA	2	5	5	5	4	2	2	2	2	3	2	3	3	2	5	2	4	2	5
46	57	170	8	2	1	15	1	1	NA	3	1	2	5	4	1	4	2	4	7	5	4	5	4	4	7	5	5	6
18	61	174	7	2	1	15	2	1	NA	2	2	1	2	1	4	1	1	1	6	3	4	4	5	5	5	7	4	5
18	43	163	7	2	1	13	1	1	NA	2	2	1	2	1	5	2	1	1	5	6	4	3	5	6	6	7	2	7
20	62	164	7	2	1	13	1	2	1	4	2	4	5	5	1	4	2	2	4	5	5	3	4	6	6	5	4	6
19	65	174	6	1	NA	NA	1	1	NA	2	1	2	3	4	1	4	3	4	4	3	5	4	5	4	5	3	4	3
21	76	182	7	1	NA	NA	1	2	1	1	1	1	3	1	4	2	2	2	1	8	8	8	8	1	1	4	3	8
19	77	170	5	2	1	11	1	2	1	1	1	1	3	3	4	4	2	2	1	4	3	3	2	5	4	5	4	5
20	82	190	7	1	NA	NA	1	2	2	3	4	4	5	5	3	3	2	1	3	5	5	6	6	7	2	7	5	5
19	83.4	189	7	1	NA	NA	1	2	2	1	1	1	4	4	2	3	3	4	1	7	1	5	4	5	3	4	5	5
21	61	175	4	2	2	13	1	2	1	2	1	2	4	3	3	2	5	2	1	4	5	4	4	4	5	5	4	5
